bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,262.0,114.0,148.0,43.51145038167939,56.48854961832061,262.0,114.0,148.0,0.43942489303473,53.42960288808664,52.99017799505191,0.7702702702702703
2.0,262.0,234.0,28.0,89.31297709923665,10.687022900763353,524.0,348.0,176.0,1.3414023050533863,63.537906137184116,62.19650383213073,1.9772727272727273
3.0,263.0,257.0,6.0,97.71863117870723,2.281368821292773,787.0,605.0,182.0,2.332035616543962,65.70397111913357,63.37193550258961,3.3241758241758244
4.0,262.0,253.0,9.0,96.56488549618321,3.4351145038167914,1049.0,858.0,191.0,3.307250510735073,68.95306859205776,65.64581808132269,4.492146596858639
5.0,262.0,256.0,6.0,97.70992366412214,2.290076335877856,1311.0,1114.0,197.0,4.294029217900783,71.11913357400722,66.82510435610644,5.654822335025381
6.0,262.0,258.0,4.0,98.47328244274809,1.5267175572519136,1573.0,1372.0,201.0,5.2885171337162244,72.56317689530685,67.27465976159063,6.825870646766169
7.0,262.0,258.0,4.0,98.47328244274809,1.5267175572519136,1835.0,1630.0,205.0,6.283005049531665,74.0072202166065,67.72421516707483,7.951219512195122
8.0,263.0,262.0,1.0,99.61977186311788,0.3802281368821241,2098.0,1892.0,206.0,7.2929113826465715,74.36823104693141,67.07531966428485,9.184466019417476
9.0,262.0,258.0,4.0,98.47328244274809,1.5267175572519136,2360.0,2150.0,210.0,8.287399298462013,75.81227436823104,67.52487506976902,10.238095238095237
10.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,2622.0,2411.0,211.0,9.293451027252052,76.17328519855596,66.87983417130391,11.42654028436019
11.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,2884.0,2672.0,212.0,10.299502756042092,76.53429602888086,66.23479327283877,12.60377358490566
12.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,3146.0,2932.0,214.0,11.301699880507266,77.25631768953069,65.95461780902342,13.700934579439252
13.0,263.0,259.0,4.0,98.47908745247149,1.5209125475285106,3409.0,3191.0,218.0,12.300042400647573,78.70036101083032,66.40031861018275,14.637614678899082
14.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,3671.0,3451.0,220.0,13.302239525112746,79.42238267148015,66.12014314636741,15.686363636363636
15.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,3933.0,3712.0,221.0,14.308291253902787,79.78339350180505,65.47510224790227,16.79638009049774
16.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,4195.0,3973.0,222.0,15.314342982692827,80.14440433212997,64.83006134943714,17.896396396396398
17.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,4457.0,4233.0,224.0,16.316540107158,80.86642599277978,64.54988588562178,18.897321428571427
18.0,263.0,261.0,2.0,99.23954372623574,0.7604562737642624,4720.0,4494.0,226.0,17.32259183594804,81.5884476534296,64.26585581748157,19.884955752212388
19.0,262.0,259.0,3.0,98.85496183206106,1.1450381679389352,4982.0,4753.0,229.0,18.320934356088348,82.67148014440433,64.35054578831598,20.75545851528384
20.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,5244.0,5013.0,231.0,19.32313148055352,83.39350180505416,64.07037032450063,21.7012987012987
21.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,5506.0,5274.0,232.0,20.32918320934356,83.75451263537906,63.425329426035496,22.732758620689655
22.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,5768.0,5534.0,234.0,21.331380333808735,84.47653429602889,63.14515396222015,23.64957264957265
23.0,263.0,261.0,2.0,99.23954372623574,0.7604562737642624,6031.0,5795.0,236.0,22.337432062598776,85.1985559566787,62.861123894079924,24.555084745762713
24.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,6293.0,6055.0,238.0,23.33962918706395,85.92057761732852,62.58094843026457,25.441176470588236
25.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,6555.0,6315.0,240.0,24.341826311529122,86.64259927797833,62.300772966449216,26.3125
26.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,6817.0,6576.0,241.0,25.347878040319163,87.00361010830325,61.65573206798409,27.286307053941908
27.0,262.0,262.0,0.0,100.0,0.0,7079.0,6838.0,241.0,26.357784373434068,87.00361010830325,60.64582573486918,28.37344398340249
28.0,263.0,262.0,1.0,99.61977186311788,0.3802281368821241,7342.0,7100.0,242.0,27.367690706548974,87.36462093862816,59.996930232079194,29.33884297520661
29.0,262.0,262.0,0.0,100.0,0.0,7604.0,7362.0,242.0,28.37759703966388,87.36462093862816,58.98702389896428,30.421487603305785
30.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,7866.0,7623.0,243.0,29.383648768453916,87.72563176895306,58.34198300049915,31.37037037037037
31.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,8128.0,7883.0,245.0,30.385845892919093,88.4476534296029,58.0618075366838,32.17551020408163
32.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,8390.0,8143.0,247.0,31.388043017384266,89.16967509025271,57.78163207286845,32.96761133603239
33.0,263.0,262.0,1.0,99.61977186311788,0.3802281368821241,8653.0,8405.0,248.0,32.39794935049917,89.53068592057761,57.13273657007844,33.891129032258064
34.0,262.0,262.0,0.0,100.0,0.0,8915.0,8667.0,248.0,33.40785568361408,89.53068592057761,56.12283023696353,34.94758064516129
35.0,262.0,262.0,0.0,100.0,0.0,9177.0,8929.0,248.0,34.417762016728986,89.53068592057761,55.112923903848625,36.00403225806452
36.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,9439.0,9190.0,249.0,35.42381374551902,89.89169675090253,54.467883005383506,36.907630522088354
37.0,262.0,262.0,0.0,100.0,0.0,9701.0,9452.0,249.0,36.433720078633925,89.89169675090253,53.4579766722686,37.95983935742972
38.0,263.0,262.0,1.0,99.61977186311788,0.3802281368821241,9964.0,9714.0,250.0,37.44362641174883,90.25270758122744,52.80908116947861,38.856
39.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,10226.0,9975.0,251.0,38.44967814053887,90.61371841155234,52.16404027101347,39.7410358565737
40.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,10488.0,10235.0,253.0,39.45187526500405,91.33574007220217,51.88386480719812,40.45454545454545
41.0,262.0,259.0,3.0,98.85496183206106,1.1450381679389352,10750.0,10494.0,256.0,40.45021778514435,92.4187725631769,51.96855477803255,40.9921875
42.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,11012.0,10754.0,258.0,41.45241490960953,93.14079422382672,51.68837931421719,41.68217054263566
43.0,263.0,262.0,1.0,99.61977186311788,0.3802281368821241,11275.0,11016.0,259.0,42.462321242724435,93.50180505415162,51.03948381142718,42.53281853281853
44.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,11537.0,11276.0,261.0,43.464518367189605,94.22382671480145,50.75930834761184,43.20306513409962
45.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,11799.0,11537.0,262.0,44.470570095979646,94.58483754512635,50.1142674491467,44.034351145038165
46.0,262.0,262.0,0.0,100.0,0.0,12061.0,11799.0,262.0,45.48047642909455,94.58483754512635,49.1043611160318,45.034351145038165
47.0,262.0,262.0,0.0,100.0,0.0,12323.0,12061.0,262.0,46.49038276220946,94.58483754512635,48.09445478291689,46.034351145038165
48.0,263.0,262.0,1.0,99.61977186311788,0.3802281368821241,12586.0,12323.0,263.0,47.50028909532436,94.94584837545126,47.4455592801269,46.85551330798479
49.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,12848.0,12584.0,264.0,48.5063408241144,95.30685920577618,46.800518381661774,47.666666666666664
50.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,13110.0,12845.0,265.0,49.512392552904444,95.66787003610108,46.155477483196634,48.471698113207545
51.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,13372.0,13106.0,266.0,50.518444281694485,96.028880866426,45.51043658473151,49.27067669172932
52.0,262.0,262.0,0.0,100.0,0.0,13634.0,13368.0,266.0,51.52835061480939,96.028880866426,44.5005302516166,50.255639097744364
53.0,263.0,263.0,0.0,100.0,0.0,13897.0,13631.0,266.0,52.54211155224916,96.028880866426,43.48676931417683,51.244360902255636
54.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,14159.0,13892.0,267.0,53.5481632810392,96.38989169675091,42.84172841571171,52.02996254681648
55.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,14421.0,14153.0,268.0,54.55421500982924,96.75090252707581,42.196687517246566,52.809701492537314
56.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,14683.0,14413.0,270.0,55.55641213429441,97.47292418772564,41.91651205343123,53.38148148148148
57.0,262.0,262.0,0.0,100.0,0.0,14945.0,14675.0,270.0,56.56631846740932,97.47292418772564,40.90660572031632,54.351851851851855
58.0,263.0,263.0,0.0,100.0,0.0,15208.0,14938.0,270.0,57.580079404849094,97.47292418772564,39.892844782876544,55.32592592592592
59.0,262.0,262.0,0.0,100.0,0.0,15470.0,15200.0,270.0,58.589985737964,97.47292418772564,38.88293844976164,56.2962962962963
60.0,262.0,262.0,0.0,100.0,0.0,15732.0,15462.0,270.0,59.599892071078905,97.47292418772564,37.87303211664673,57.266666666666666
61.0,262.0,262.0,0.0,100.0,0.0,15994.0,15724.0,270.0,60.60979840419381,97.47292418772564,36.86312578353183,58.237037037037034
62.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,16256.0,15985.0,271.0,61.61585013298385,97.83393501805054,36.21808488506669,58.98523985239852
63.0,263.0,263.0,0.0,100.0,0.0,16519.0,16248.0,271.0,62.62961107042362,97.83393501805054,35.20432394762692,59.95571955719557
64.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,16781.0,16509.0,272.0,63.63566279921366,98.19494584837545,34.55928304916179,60.69485294117647
65.0,262.0,262.0,0.0,100.0,0.0,17043.0,16771.0,272.0,64.64556913232856,98.19494584837545,33.54937671604689,61.658088235294116
66.0,262.0,262.0,0.0,100.0,0.0,17305.0,17033.0,272.0,65.65547546544347,98.19494584837545,32.53947038293198,62.62132352941177
67.0,262.0,262.0,0.0,100.0,0.0,17567.0,17295.0,272.0,66.66538179855837,98.19494584837545,31.529564049817083,63.58455882352941
68.0,263.0,263.0,0.0,100.0,0.0,17830.0,17558.0,272.0,67.67914273599816,98.19494584837545,30.5158031123773,64.55147058823529
69.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,18092.0,17819.0,273.0,68.6851944647882,98.55595667870035,29.87076221391216,65.27106227106228
70.0,262.0,262.0,0.0,100.0,0.0,18354.0,18081.0,273.0,69.6951007979031,98.55595667870035,28.86085588079726,66.23076923076923
71.0,262.0,262.0,0.0,100.0,0.0,18616.0,18343.0,273.0,70.70500713101801,98.55595667870035,27.850949547682347,67.19047619047619
72.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,18878.0,18604.0,274.0,71.71105885980803,98.91696750902527,27.205908649217236,67.89781021897811
73.0,263.0,263.0,0.0,100.0,0.0,19141.0,18867.0,274.0,72.72481979724782,98.91696750902527,26.19214771177745,68.85766423357664
74.0,262.0,262.0,0.0,100.0,0.0,19403.0,19129.0,274.0,73.73472613036272,98.91696750902527,25.182241378662553,69.81386861313868
75.0,262.0,262.0,0.0,100.0,0.0,19665.0,19391.0,274.0,74.74463246347763,98.91696750902527,24.17233504554764,70.77007299270073
76.0,262.0,262.0,0.0,100.0,0.0,19927.0,19653.0,274.0,75.75453879659253,98.91696750902527,23.162428712432742,71.72627737226277
77.0,262.0,262.0,0.0,100.0,0.0,20189.0,19915.0,274.0,76.76444512970744,98.91696750902527,22.15252237931783,72.68248175182482
78.0,263.0,263.0,0.0,100.0,0.0,20452.0,20178.0,274.0,77.77820606714721,98.91696750902527,21.13876144187806,73.64233576642336
79.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,20714.0,20439.0,275.0,78.78425779593725,99.27797833935018,20.493720543412934,74.32363636363637
80.0,262.0,262.0,0.0,100.0,0.0,20976.0,20701.0,275.0,79.79416412905215,99.27797833935018,19.483814210298036,75.27636363636364
81.0,262.0,262.0,0.0,100.0,0.0,21238.0,20963.0,275.0,80.80407046216706,99.27797833935018,18.473907877183123,76.22909090909091
82.0,262.0,262.0,0.0,100.0,0.0,21500.0,21225.0,275.0,81.81397679528196,99.27797833935018,17.464001544068225,77.18181818181819
83.0,263.0,263.0,0.0,100.0,0.0,21763.0,21488.0,275.0,82.82773773272173,99.27797833935018,16.450240606628455,78.13818181818182
84.0,262.0,262.0,0.0,100.0,0.0,22025.0,21750.0,275.0,83.83764406583664,99.27797833935018,15.440334273513542,79.0909090909091
85.0,262.0,262.0,0.0,100.0,0.0,22287.0,22012.0,275.0,84.84755039895155,99.27797833935018,14.43042794039863,80.04363636363637
86.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,22549.0,22273.0,276.0,85.85360212774158,99.63898916967509,13.785387041933504,80.69927536231884
87.0,262.0,262.0,0.0,100.0,0.0,22811.0,22535.0,276.0,86.8635084608565,99.63898916967509,12.775480708818591,81.64855072463769
88.0,263.0,263.0,0.0,100.0,0.0,23074.0,22798.0,276.0,87.87726939829626,99.63898916967509,11.761719771378822,82.60144927536231
89.0,262.0,262.0,0.0,100.0,0.0,23336.0,23060.0,276.0,88.88717573141118,99.63898916967509,10.751813438263909,83.55072463768116
90.0,262.0,262.0,0.0,100.0,0.0,23598.0,23322.0,276.0,89.89708206452607,99.63898916967509,9.74190710514901,84.5
91.0,262.0,262.0,0.0,100.0,0.0,23860.0,23584.0,276.0,90.90698839764099,99.63898916967509,8.732000772034098,85.44927536231884
92.0,262.0,262.0,0.0,100.0,0.0,24122.0,23846.0,276.0,91.91689473075589,99.63898916967509,7.7220944389192,86.39855072463769
93.0,263.0,263.0,0.0,100.0,0.0,24385.0,24109.0,276.0,92.93065566819566,99.63898916967509,6.70833350147943,87.35144927536231
94.0,262.0,262.0,0.0,100.0,0.0,24647.0,24371.0,276.0,93.94056200131057,99.63898916967509,5.698427168364518,88.30072463768116
95.0,262.0,262.0,0.0,100.0,0.0,24909.0,24633.0,276.0,94.95046833442547,99.63898916967509,4.688520835249619,89.25
96.0,262.0,262.0,0.0,100.0,0.0,25171.0,24895.0,276.0,95.96037466754038,99.63898916967509,3.6786145021347068,90.19927536231884
97.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,25433.0,25156.0,277.0,96.96642639633042,100.0,3.0335736036695806,90.8158844765343
98.0,263.0,263.0,0.0,100.0,0.0,25696.0,25419.0,277.0,97.98018733377019,100.0,2.019812666229811,91.7653429602888
99.0,262.0,262.0,0.0,100.0,0.0,25958.0,25681.0,277.0,98.99009366688509,100.0,1.0099063331149125,92.71119133574007
100.0,262.0,262.0,0.0,100.0,0.0,26220.0,25943.0,277.0,100.0,100.0,0.0,93.65703971119133
